review_id,review_date,rating,comment
REV-20250913-00001,2025-09-13,4,Quality beans and smooth brew.
REV-20250913-00002,2025-09-13,2,
REV-20250913-00003,2025-09-13,3,
REV-20250913-00004,2025-09-13,3,Nothing special.
REV-20250913-00005,2025-09-13,1,Overpriced for the portion.
REV-20250913-00006,2025-09-13,5,
REV-20250913-00007,2025-09-13,4,Quality beans and smooth brew.
REV-20250913-00008,2025-09-13,4,Loved the latte art.
REV-20250913-00009,2025-09-13,2,"Cold coffee, disappointed."
REV-20250913-00010,2025-09-13,4,Fast service and delicious pastry.
REV-20250913-00011,2025-09-13,4,Fast service and delicious pastry.
REV-20250913-00012,2025-09-13,2,Not as fresh as usual.
REV-20250913-00013,2025-09-13,4,Quality beans and smooth brew.
REV-20250913-00014,2025-09-13,3,Average experience.
REV-20250913-00015,2025-09-13,4,Great coffee and friendly staff!
REV-20250914-00016,2025-09-14,1,Long wait and rude staff.
REV-20250914-00017,2025-09-14,5,Cozy place to work.
REV-20250914-00018,2025-09-14,3,Service was a bit slow today.
REV-20250914-00019,2025-09-14,3,It was okay.
REV-20250914-00020,2025-09-14,1,Not as fresh as usual.
REV-20250914-00021,2025-09-14,5,Cozy place to work.
REV-20250914-00022,2025-09-14,4,Loved the latte art.
REV-20250914-00023,2025-09-14,3,Average experience.
REV-20250914-00024,2025-09-14,2,Found a hair in my sandwich.
REV-20250914-00025,2025-09-14,5,Perfect morning pick-me-up.
REV-20250914-00026,2025-09-14,1,Not as fresh as usual.
REV-20250914-00027,2025-09-14,5,Perfect morning pick-me-up.
REV-20250914-00028,2025-09-14,4,Fast service and delicious pastry.
REV-20250914-00029,2025-09-14,3,Average experience.
REV-20250914-00030,2025-09-14,4,Fast service and delicious pastry.
REV-20250914-00031,2025-09-14,2,Not as fresh as usual.
REV-20250914-00032,2025-09-14,5,Perfect morning pick-me-up.
REV-20250914-00033,2025-09-14,3,Nothing special.
REV-20250914-00034,2025-09-14,3,It was okay.
REV-20250914-00035,2025-09-14,5,Great coffee and friendly staff!
REV-20250915-00036,2025-09-15,5,Great coffee and friendly staff!
REV-20250915-00037,2025-09-15,2,Found a hair in my sandwich.
REV-20250915-00038,2025-09-15,4,Perfect morning pick-me-up.
REV-20250915-00039,2025-09-15,4,Cozy place to work.
REV-20250915-00040,2025-09-15,2,Overpriced for the portion.
REV-20250915-00041,2025-09-15,5,Loved the latte art.
REV-20250915-00042,2025-09-15,5,
REV-20250915-00043,2025-09-15,3,Service was a bit slow today.
REV-20250915-00044,2025-09-15,4,Loved the latte art.
REV-20250915-00045,2025-09-15,3,Average experience.
REV-20250915-00046,2025-09-15,2,Not as fresh as usual.
REV-20250915-00047,2025-09-15,4,Loved the latte art.
REV-20250915-00048,2025-09-15,4,
REV-20250915-00049,2025-09-15,3,Service was a bit slow today.
REV-20250915-00050,2025-09-15,4,Great coffee and friendly staff!
REV-20250915-00051,2025-09-15,4,Cozy place to work.
REV-20250915-00052,2025-09-15,4,Quality beans and smooth brew.
REV-20250915-00053,2025-09-15,5,Cozy place to work.
REV-20250915-00054,2025-09-15,5,Loved the latte art.
REV-20250916-00055,2025-09-16,3,Service was a bit slow today.
REV-20250916-00056,2025-09-16,2,Not as fresh as usual.
REV-20250916-00057,2025-09-16,5,Great coffee and friendly staff!
REV-20250916-00058,2025-09-16,3,Service was a bit slow today.
REV-20250916-00059,2025-09-16,5,
REV-20250916-00060,2025-09-16,4,
REV-20250916-00061,2025-09-16,4,Fast service and delicious pastry.
REV-20250916-00062,2025-09-16,4,Loved the latte art.
REV-20250916-00063,2025-09-16,3,Coffee was fine.
REV-20250916-00064,2025-09-16,3,It was okay.
REV-20250916-00065,2025-09-16,3,
REV-20250916-00066,2025-09-16,5,
REV-20250916-00067,2025-09-16,2,Long wait and rude staff.
REV-20250916-00068,2025-09-16,5,Cozy place to work.
